species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ
Mm Hs	CTRB1	Acinar cells	CTRB	0.013	chymotrypsinogen B1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	KLK1	Acinar cells	Klk6	0.013	kallikrein 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	RBPJL	Acinar cells	RBP-L|SUHL|RBPSUHL	0.001	recombination signal binding protein for immunoglobulin kappa J region like	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PTF1A	Acinar cells	PTF1-p48|bHLHa29	0.001	pancreas associated transcription factor 1a	protein-coding gene	1	Endoderm	Pancreas
Mm	TRY4	Acinar cells	NA	0.001	trypsin 4	protein coding gene	1	Endoderm	Pancreas
Mm Hs	CELA3A	Acinar cells	ELA3|ELA3A	0.001	chymotrypsin like elastase family member 3A	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PRSS1	Acinar cells	TRY1	0.002	serine protease 1	protein-coding gene	1	Endoderm	Pancreas
Mm	AMY2A2	Acinar cells	NA	0.0	amylase 2a2	protein coding gene	NA	Endoderm	Pancreas
Mm Hs	SPINK1	Acinar cells	Spink3|PCTT|PSTI|TATI	0.017	serine peptidase inhibitor, Kazal type 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	ZG16	Acinar cells	hZG16|JCLN1|ZG16A|JCLN	0.004	zymogen granule protein 16	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CEL	Acinar cells	BSSL|MODY8	0.002	carboxyl ester lipase	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CELA2A	Acinar cells	ELA2A	0.001	chymotrypsin like elastase family member 2A	protein-coding gene	1	Endoderm	Pancreas
Mm	AMY2A3	Acinar cells	NA	0.001	amylase 2a3	protein coding gene	1	Endoderm	Pancreas
Mm Hs	CPB1	Acinar cells	NA	0.003	carboxypeptidase B1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CELA1	Acinar cells	ELA1	0.011	chymotrypsin like elastase family member 1	protein-coding gene	1	Endoderm	Pancreas
Mm	AMY2A5	Acinar cells	NA	0.001	amylase 2a5	protein coding gene	1	Endoderm	Pancreas
Mm Hs	RNASE1	Acinar cells	RAC1|RNS1	0.014	ribonuclease A family member 1, pancreatic	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	AMY2B	Acinar cells	NA	0.002	amylase, alpha 2B (pancreatic)	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CPA2	Acinar cells	NA	0.004	carboxypeptidase A2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CPA1	Acinar cells	CPA	0.005	carboxypeptidase A1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CELA3B	Acinar cells	CBPP|ELA3B	0.004	chymotrypsin like elastase family member 3B	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PNLIP	Acinar cells	NA	0.001	pancreatic lipase	protein-coding gene	1	Endoderm	Pancreas
Hs	CTRB2	Acinar cells	NA	0.001	chymotrypsinogen B2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PLA2G1B	Acinar cells	PLA2|PPLA2|PLA2A	0.004	phospholipase A2 group IB	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PRSS2	Acinar cells	TRY2	0.004	serine protease 2	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CLPS	Acinar cells	NA	0.015	colipase	protein-coding gene	1	Endoderm	Pancreas
Hs	REG1A	Acinar cells	PSPS|PSPS1|REG	0.006	regenerating family member 1 alpha	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	SYCN	Acinar cells	SYL|FLJ27441|INSSA1	0.002	syncollin	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	PNLIPRP1	Acinar cells	PLRP1	0.008	pancreatic lipase related protein 1	protein-coding gene	1	Endoderm	Pancreas
Mm Hs	CTRC	Acinar cells	CLCR|ELA4	0.001	chymotrypsin C	protein-coding gene	1	Endoderm	Pancreas
